Institution Name,Country,Year,FA_1,FA_2,FA_3,FA_4,pca_1,pca_2,pca_3,pca_4
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ,United States,2018,0.7574464425447156,0.6521910323038974,0.7568226009283152,0.6689828963581932,0.9944356355857807,0.9793965453366755,1.0,0.9375638569537851
STANFORD UNIVERSITY,United States,2018,0.7598645242662295,0.543974615244647,0.759425629495104,0.7231643182655053,0.9971961114866612,0.8538466394890749,1.0,0.974917702810882
HARVARD UNIVERSITY,United States,2018,0.7617180587338984,0.5436663969445223,0.7463480107644752,0.7223493718908962,0.9978303131295302,0.8521028537476666,0.9828109201213348,0.974735700293608
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,2018,0.6444296836647228,0.6343597629312483,0.7984506460063084,0.6469537309721752,0.8442756377533864,0.9111128445776,1.0,0.8029404801272754
UNIVERSITY OF CAMBRIDGE,United Kingdom,2018,0.7823748575947786,0.6555718328331885,0.7585561794992437,0.6080740106064094,0.9966694976224935,0.9753095885459888,1.0,0.8853683699155723
UNIVERSITY OF OXFORD,United Kingdom,2018,0.7804510047405301,0.6652389612862429,0.7590905620681149,0.5998500174154185,0.9918223850662807,0.9853234718234752,1.0,0.8769709301994637
UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,2018,0.7468949677559199,0.6702237521842923,0.7650695597077058,0.6172876021459587,0.9467960788244388,0.9836019881249517,0.9908998988877653,0.8870681457280706
IMPERIAL COLLEGE LONDON,United Kingdom,2018,0.7642401536441408,0.6885004048553767,0.7664406405392729,0.5760178369996206,0.9566269855055825,1.0,1.0,0.8519090141793976
UNIVERSITY OF CHICAGO,United States,2018,0.7656601183598101,0.49633593985345015,0.7508226098884612,0.6445530067553643,0.9637096422022848,0.7577599255155586,0.9646107178968656,0.8604124953054418
ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,2018,0.760718174817564,0.6757806082130994,0.49424676654015726,0.679529569027827,0.9686266048121195,0.9936604754882079,0.6784630940343781,0.9470209801386273
NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,2018,0.7239844661837499,0.647574905383086,0.7196522873530894,0.62365522923989,0.9111442929238548,0.9376613423007103,0.9352881698685541,0.8628171052891481
ECOLE POLYTECHNIQUE F?D?RALE DE LAUSANNE (EPFL),Switzerland,2018,0.5989961695539493,0.7196517840426416,0.7333560585490805,0.6472202475022968,0.7729894764125155,1.0,0.9191102123356926,0.8205924795900892
PRINCETON UNIVERSITY,United States,2018,0.7877542175419572,0.45968485239012025,0.5301946656496291,0.6422266500315106,0.9650221906830493,0.6885102406660237,0.705763397371082,0.8367400701253779
CORNELL UNIVERSITY,United States,2018,0.7721591966301783,0.5699429442808578,0.492506764727937,0.688444019152515,0.9666536185385667,0.8524959400430401,0.6703741152679475,0.9305033398358107
NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,2018,0.8049131909740471,0.6348676800684906,0.6636104518156617,0.5660519242044323,0.9835476865492708,0.9265671744050739,0.8867542972699697,0.8426470629986422
YALE UNIVERSITY,United States,2018,0.8208016138555781,0.49604945807513284,0.7604600796242025,0.5791536309311007,0.9959883541944229,0.7528101239090393,1.0,0.8326182203414677
JOHNS HOPKINS UNIVERSITY,United States,2018,0.6267306288233377,0.5724354160609048,0.8153604399077837,0.7064546940159503,0.8153990613724859,0.8428514458614093,1.0,0.8684165860031032
COLUMBIA UNIVERSITY,United States,2018,0.824825520426982,0.439253886464528,0.7919176967948479,0.5450644959585133,0.9824348489626594,0.6581187339305706,1.0,0.7852758327519145
UNIVERSITY OF PENNSYLVANIA,United States,2018,0.791496600277421,0.4304810774549286,0.7819018037092833,0.5871215919851883,0.9544351227768334,0.6537808535783752,1.0,0.7988340164960074
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,2018,0.7538917077222774,0.6954821327800906,0.39630642874642963,0.6434325663257849,0.9260767717824244,0.9936604754882079,0.5480283114256824,0.9016396980782292
DUKE UNIVERSITY,United States,2018,0.7050069644576921,0.20926031105188822,0.8198425861806179,0.7119638308425744,0.8598840034848976,0.3569118775453326,0.9807886754297268,0.8222993205049245
UNIVERSITY OF MICHIGAN,United States,2018,0.7896064296838652,0.4184130039280279,0.6925421443890991,0.5920789386630013,0.9452912729548784,0.6360878871328828,0.8948432760364003,0.78107908218872
KING'S COLLEGE LONDON (KCL),United Kingdom,2018,0.7252246128625747,0.6966036481965314,0.6780419924315911,0.577862372507249,0.8831411696515318,0.9832339941857291,0.8746208291203236,0.8343420735717053
UNIVERSITY OF EDINBURGH,United Kingdom,2018,0.7944163984916361,0.6822233787718951,0.6275343429656347,0.533330107276425,0.9482029637079913,0.9680068702570032,0.8301314459049545,0.8203503964771813
TSINGHUA UNIVERSITY,China,2018,0.8324504325322978,0.17725923816808195,0.6771104301001597,0.6519365176139054,0.9751816370304146,0.3277009839261476,0.8655207280080891,0.8230386216100612
UNIVERSITY OF HONG KONG (HKU),Hong Kong,2018,0.7852422125341402,0.7141518223770797,0.6482515676552123,0.4953673975415167,0.9253256190777119,0.9968302377441041,0.8513650151668353,0.7777547326104103
"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,2018,0.8134437870481501,0.493178008100634,0.2197665410911935,0.7185220367273139,0.9839034812209402,0.7490618832315256,0.35490394337714865,0.9532495646821448
NORTHWESTERN UNIVERSITY,United States,2018,0.6973389338761679,0.3641722827204335,0.8033422645463933,0.6666830842116697,0.8510913117316806,0.5592218602373402,0.9858442871587462,0.8072557481229549
THE UNIVERSITY OF TOKYO,Japan,2018,0.8574954579893729,0.043749364288897113,0.7406072311791162,0.6409696598011813,0.9821293495433363,0.14290971634320931,0.9251769464105157,0.7998147860363429
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,2018,0.6924842608799369,0.7071833860811362,0.4082792372297338,0.5822989477097236,0.8296670110885647,0.9630194403478789,0.5439838220424671,0.7689916268777436
UNIVERSITY OF TORONTO,Canada,2018,0.8064615418306366,0.6676580821337772,0.5541374107013197,0.5289554295612758,0.9455579506769106,0.9437959629566391,0.7421638018200203,0.8171189553062991
MCGILL UNIVERSITY,Canada,2018,0.7935644683823803,0.6516935572473398,0.5150938972565483,0.5616314554770904,0.9374210612770761,0.9232203909627313,0.6905965621840243,0.8405307759378087
"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,2018,0.8139331902714003,0.3248883318684348,0.309979484384548,0.6978786962527741,0.9627404472401127,0.513997690561925,0.4307381193124368,0.8750703048569615
THE UNIVERSITY OF MANCHESTER,United Kingdom,2018,0.7978225210854263,0.6697415792006302,0.5682369167390781,0.5189525553315251,0.9281272108084698,0.9394134989819164,0.7512639029322549,0.8071664349860167
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,2018,0.771884131810425,0.7359420693829115,0.39448461979975546,0.5187581003859529,0.8966495008247876,1.0,0.5540950455005056,0.7811647838846755
KYOTO UNIVERSITY,Japan,2018,0.8467099524831371,0.0607284736977903,0.7741128472669674,0.5718497314318928,0.9443215516514748,0.1429306232294613,0.9565217391304348,0.708022703814328
SEOUL NATIONAL UNIVERSITY (SNU),South Korea,2018,0.8597322170366241,0.0954200049200157,0.625992233915414,0.5835110854557639,0.9618929838628343,0.18486654465139088,0.7957532861476239,0.7240005075243663
PEKING UNIVERSITY,China,2018,0.8535737415398338,0.32502202180253126,0.501049232491936,0.5836748506088009,0.973426872118885,0.5002857513192264,0.6622851365015167,0.793723533080067
"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,2018,0.6208528561672857,0.42165209920926355,0.4950157033984025,0.7532806361617378,0.7579502655669708,0.6174219812770086,0.5844287158746208,0.8475555186411624
FUDAN UNIVERSITY,China,2018,0.7656448268737884,0.41799884203518634,0.5860572641103242,0.597401989486103,0.8853276369197842,0.6116246815776195,0.7583417593528817,0.7828854548843618
